TABLE_NAME	COLUMN_NAME	TYPE_NAME	LENGTH	ORDINAL_POSITION
EF_SchC_Processed	Filename	varchar	16	1
EF_SchC_Processed	FormType	char	8	2
EF_SchC_Processed	FilerID	char	9	3
EF_SchC_Processed	TransID	varchar	20	4
EF_SchC_Processed	RecipLineNum	char	8	5
EF_SchC_Processed	EntType	char	3	6
EF_SchC_Processed	Lender	varchar	200	7
EF_SchC_Processed	LenderLN	varchar	30	8
EF_SchC_Processed	LenderFN	varchar	20	9
EF_SchC_Processed	LenderMN	varchar	20	10
EF_SchC_Processed	LenderPrefix	varchar	10	11
EF_SchC_Processed	LenderSuffix	varchar	10	12
EF_SchC_Processed	Street1	varchar	34	13
EF_SchC_Processed	Street2	varchar	34	14
EF_SchC_Processed	City	varchar	30	15
EF_SchC_Processed	State	char	2	16
EF_SchC_Processed	Zip	char	9	17
EF_SchC_Processed	PG	char	5	18
EF_SchC_Processed	ElectDesc	varchar	20	19
EF_SchC_Processed	OrigAmount	decimal	14	20
EF_SchC_Processed	PayTD	decimal	14	21
EF_SchC_Processed	Balance	decimal	14	22
EF_SchC_Processed	OrigDate	smalldatetime	16	23
EF_SchC_Processed	DueDateTerms	varchar	15	24
EF_SchC_Processed	PctRate	varchar	15	25
EF_SchC_Processed	Secured	char	1	26
EF_SchC_Processed	Personal	char	1	27
EF_SchC_Processed	CmteID	char	9	28
EF_SchC_Processed	CandID	char	9	29
EF_SchC_Processed	CandLN	varchar	30	30
EF_SchC_Processed	CandFN	varchar	20	31
EF_SchC_Processed	CandMN	varchar	20	32
EF_SchC_Processed	CandPrefix	varchar	10	33
EF_SchC_Processed	CandSuffix	varchar	10	34
EF_SchC_Processed	Office	char	1	35
EF_SchC_Processed	CandState	char	2	36
EF_SchC_Processed	DistID	char	2	37
EF_SchC_Processed	MemoCode	char	1	38
EF_SchC_Processed	MemoDesc	varchar	100	39
EF_SchC1_Processed	Filename	varchar	16	1
EF_SchC1_Processed	FormType	char	8	2
EF_SchC1_Processed	FilerID	char	9	3
EF_SchC1_Processed	TransID	varchar	20	4
EF_SchC1_Processed	BackRefID	varchar	20	5
EF_SchC1_Processed	Loaner	varchar	200	6
EF_SchC1_Processed	Street1	varchar	34	7
EF_SchC1_Processed	Street2	varchar	34	8
EF_SchC1_Processed	City	varchar	30	9
EF_SchC1_Processed	State	char	2	10
EF_SchC1_Processed	Zip	char	9	11
EF_SchC1_Processed	Amount	decimal	14	12
EF_SchC1_Processed	IntRate	varchar	15	13
EF_SchC1_Processed	DateIncur	smalldatetime	16	14
EF_SchC1_Processed	DateDue	smalldatetime	16	15
EF_SchC1_Processed	Restruct	char	1	16
EF_SchC1_Processed	DateOrig	smalldatetime	16	17
EF_SchC1_Processed	AmtDraw	decimal	14	18
EF_SchC1_Processed	Balance	decimal	14	19
EF_SchC1_Processed	Others	char	1	20
EF_SchC1_Processed	Collateral	char	1	21
EF_SchC1_Processed	Descrip	varchar	100	22
EF_SchC1_Processed	AmtCollat	decimal	14	23
EF_SchC1_Processed	IntPerf	char	1	24
EF_SchC1_Processed	FutureInc	char	1	25
EF_SchC1_Processed	DescripDetail	varchar	100	26
EF_SchC1_Processed	EstValue	decimal	14	27
EF_SchC1_Processed	DateDep	smalldatetime	16	28
EF_SchC1_Processed	AcctLoc	varchar	200	29
EF_SchC1_Processed	Street1Loc	varchar	34	30
EF_SchC1_Processed	Street2Loc	varchar	34	31
EF_SchC1_Processed	CityLoc	varchar	30	32
EF_SchC1_Processed	StateLoc	char	2	33
EF_SchC1_Processed	ZipLoc	char	9	34
EF_SchC1_Processed	DatePres	char	8	35
EF_SchC1_Processed	DescripBasis	varchar	100	36
EF_SchC1_Processed	TreasLN	varchar	30	37
EF_SchC1_Processed	TreasFN	varchar	20	38
EF_SchC1_Processed	TreasMN	varchar	20	39
EF_SchC1_Processed	TreasPrefix	varchar	50	40
EF_SchC1_Processed	TreasSuffix	varchar	10	41
EF_SchC1_Processed	DateSig	smalldatetime	16	42
EF_SchC1_Processed	AuthLN	varchar	30	43
EF_SchC1_Processed	AuthFN	varchar	20	44
EF_SchC1_Processed	AuthMN	varchar	20	45
EF_SchC1_Processed	AuthPrefix	varchar	10	46
EF_SchC1_Processed	AuthSuffix	varchar	10	47
EF_SchC1_Processed	AuthTitle	varchar	20	48
EF_SchC1_Processed	DateSig2	smalldatetime	16	49
EF_SchC2_Processed	Filename	varchar	16	1
EF_SchC2_Processed	FormType	char	8	2
EF_SchC2_Processed	FilerID	char	9	3
EF_SchC2_Processed	TransID	varchar	20	4
EF_SchC2_Processed	BackRefID	varchar	20	5
EF_SchC2_Processed	GuarLN	varchar	30	6
EF_SchC2_Processed	GuarFN	varchar	20	7
EF_SchC2_Processed	GuarMN	varchar	20	8
EF_SchC2_Processed	GuarPrefix	varchar	10	9
EF_SchC2_Processed	GuarSuffix	varchar	10	10
EF_SchC2_Processed	Street1	varchar	34	11
EF_SchC2_Processed	Street2	varchar	34	12
EF_SchC2_Processed	City	varchar	30	13
EF_SchC2_Processed	State	char	2	14
EF_SchC2_Processed	Zip	char	9	15
EF_SchC2_Processed	IndEmp	varchar	38	16
EF_SchC2_Processed	IndOcc	varchar	38	17
EF_SchC2_Processed	Amount	decimal	14	18
EF_SchH1_Processed	FileName	varchar	16	1
EF_SchH1_Processed	FormType	char	8	2
EF_SchH1_Processed	FilerID	char	9	3
EF_SchH1_Processed	TransID	varchar	20	4
EF_SchH1_Processed	SL_PresOnly	char	1	5
EF_SchH1_Processed	SL_PresSen	char	1	6
EF_SchH1_Processed	SL_SenOnly	char	1	7
EF_SchH1_Processed	SL_SenOnlySL_NonPresNonSen	char	1	8
EF_SchH1_Processed	FlatMin	char	1	9
EF_SchH1_Processed	FedPct	decimal	14	10
EF_SchH1_Processed	NonFedPCt	decimal	14	11
EF_SchH1_Processed	AdminRatio	char	1	12
EF_SchH1_Processed	GenVoteDrive	char	1	13
EF_SchH1_Processed	PublicComm	char	1	14
EF_SchD_Processed	Filename	varchar	16	1
EF_SchD_Processed	FormType	char	8	2
EF_SchD_Processed	FilerID	char	9	3
EF_SchD_Processed	TransID	varchar	20	4
EF_SchD_Processed	EntType	char	3	5
EF_SchD_Processed	CreditorOrg	varchar	200	6
EF_SchD_Processed	CreditorLN	varchar	30	7
EF_SchD_Processed	CreditorFN	varchar	20	8
EF_SchD_Processed	CreditorMN	varchar	20	9
EF_SchD_Processed	CreditorPrefix	varchar	10	10
EF_SchD_Processed	CreditorSuffix	varchar	10	11
EF_SchD_Processed	Street1	varchar	34	12
EF_SchD_Processed	Street2	varchar	34	13
EF_SchD_Processed	City	varchar	30	14
EF_SchD_Processed	State	char	2	15
EF_SchD_Processed	Zip	char	9	16
